State,Prop_Biden,Prop_Trump,Seats
Alabama,0.39,0.58,9
Alaska,0.438,0.494,3
Arizona,0.48,0.458,11
Arkansas,0.35,0.603,6
California,0.617,0.323,55
Colorado,0.52,0.406,9
Connecticut,0.6,0.38,7
Delaware,0.575,0.355,3
Dist. of Columbia,0.94,0.05,3
Florida,0.487,0.46,29
Georgia,0.476,0.474,16
Hawaii,0.635,0.295,4
Idaho,0.4,0.58,4
Illinois,0.563,0.377,20
Indiana,0.42,0.51,11
Iowa,0.462,0.478,6
Kansas,0.43,0.517,6
Kentucky,0.4,0.57,8
Louisiana,0.36,0.565,8
Maine,0.518,0.402,2
Maine Dist. 1,0.578,0.35,1
Maine Dist. 2,0.464,0.452,1
Maryland,0.6,0.317,10
Massachusetts,0.65,0.287,11
Michigan,0.499,0.444,16
Minnesota,0.516,0.418,10
Mississippi,0.4,0.57,6
Missouri,0.437,0.513,10
Montana,0.448,0.502,3
Nebraska,0.43,0.55,2
Nebraska Dist. 2,0.5,0.47,1
Nevada,0.494,0.444,6
New Hampshire,0.534,0.424,4
New Jersey,0.565,0.373,14
New Mexico,0.535,0.405,5
New York,0.61,0.33,29
North Carolina,0.478,0.475,15
North Dakota,0.39,0.59,3
Ohio,0.467,0.476,18
Oklahoma,0.385,0.585,7
Oregon,0.59,0.39,7
Pennsylvania,0.494,0.457,20
Rhode Island,0.62,0.36,4
South Carolina,0.433,0.503,9
South Dakota,0.42,0.525,3
Tennessee,0.45,0.54,11
Texas,0.475,0.488,38
Utah,0.41,0.505,6
Vermont,0.71,0.26,3
Virginia,0.528,0.41,13
Washington,0.575,0.353,12
West Virginia,0.385,0.555,5
Wisconsin,0.52,0.428,10
Wyoming,0.325,0.615,3
Nebraska Dist. 1,0.5,0.5,1
Nebraska Dist. 3,0.5,0.5,1